Date,Shift,Room,Teacher,Role
2026-05-01,Morning,Room 101,Prof. Sarah Jenkins,Faculty1
2026-05-01,Afternoon,Room 101,Prof. Benjamin Choi,Faculty1
2026-05-01,Morning,Room 102,Dr. Chloe Harrison,Faculty1
2026-05-01,Afternoon,Room 102,Dr. David OConnor,Faculty1
2026-05-02,Morning,Room 101,Dr. David OConnor,Faculty1
2026-05-02,Afternoon,Room 101,Dr. David OConnor,Faculty1
2026-05-02,Morning,Room 102,Dr. Chloe Harrison,Faculty1
2026-05-02,Afternoon,Room 102,Prof. Benjamin Choi,Faculty1
2026-05-04,Morning,Room 101,Prof. Benjamin Choi,Faculty1
2026-05-04,Afternoon,Room 101,Dr. Chloe Harrison,Faculty1
2026-05-04,Morning,Room 102,Dr. Chloe Harrison,Faculty1
2026-05-04,Afternoon,Room 102,Dr. Marcus Thorne,Faculty1
2026-05-05,Morning,Room 101,Prof. Benjamin Choi,Faculty1
2026-05-05,Afternoon,Room 101,Prof. Sarah Jenkins,Faculty1
2026-05-05,Morning,Room 102,Prof. Sarah Jenkins,Faculty1
2026-05-05,Afternoon,Room 102,Dr. Chloe Harrison,Faculty1
2026-05-11,Morning,Room 101,Prof. Sarah Jenkins,Faculty1
2026-05-11,Afternoon,Room 101,Dr. Chloe Harrison,Faculty1
2026-05-11,Morning,Room 102,Prof. Benjamin Choi,Faculty1
2026-05-11,Afternoon,Room 102,Prof. Sarah Jenkins,Faculty1
2026-05-12,Morning,Room 101,Dr. Chloe Harrison,Faculty1
2026-05-12,Afternoon,Room 101,Dr. Chloe Harrison,Faculty1
2026-05-12,Morning,Room 102,Prof. Benjamin Choi,Faculty1
2026-05-12,Afternoon,Room 102,Dr. Marcus Thorne,Faculty1
2026-05-01,Morning,Room 101,Prof. Olivia Martinez,Faculty2
2026-05-01,Afternoon,Room 101,Prof. Olivia Martinez,Faculty2
2026-05-01,Morning,Room 102,Dr. David OConnor,Faculty2
2026-05-01,Afternoon,Room 102,Dr. Marcus Thorne,Faculty2
2026-05-02,Morning,Room 101,Prof. Sarah Jenkins,Faculty2
2026-05-02,Afternoon,Room 101,Dr. Marcus Thorne,Faculty2
2026-05-02,Morning,Room 102,Prof. Benjamin Choi,Faculty2
2026-05-02,Afternoon,Room 102,Prof. Olivia Martinez,Faculty2
2026-05-04,Morning,Room 101,Prof. Olivia Martinez,Faculty2
2026-05-04,Afternoon,Room 101,Prof. Sarah Jenkins,Faculty2
2026-05-04,Morning,Room 102,Prof. Sarah Jenkins,Faculty2
2026-05-04,Afternoon,Room 102,Prof. Olivia Martinez,Faculty2
2026-05-05,Morning,Room 101,Dr. Marcus Thorne,Faculty2
2026-05-05,Afternoon,Room 101,Dr. Marcus Thorne,Faculty2
2026-05-05,Morning,Room 102,Prof. Olivia Martinez,Faculty2
2026-05-05,Afternoon,Room 102,Prof. Benjamin Choi,Faculty2
2026-05-11,Morning,Room 101,Dr. Marcus Thorne,Faculty2
2026-05-11,Afternoon,Room 101,Prof. Benjamin Choi,Faculty2
2026-05-11,Morning,Room 102,Prof. Olivia Martinez,Faculty2
2026-05-11,Afternoon,Room 102,Dr. Marcus Thorne,Faculty2
2026-05-12,Morning,Room 101,Prof. Olivia Martinez,Faculty2
2026-05-12,Afternoon,Room 101,Prof. Sarah Jenkins,Faculty2
2026-05-12,Morning,Room 102,Dr. Marcus Thorne,Faculty2
2026-05-12,Afternoon,Room 102,Prof. Olivia Martinez,Faculty2
